order_id,date_id,customer_id,product_id,region_id,ship_mode,sales,quantity,discount,profit,customer_name,segment,category,sub_category,product_name,country,state,city,region,year,month,month_name,quarter
ORD-100013,10/20/2023,CUST-0811,PROD-0227,8,Second Class,626.52,5,0.3,-98.94,Ishita Banerjee,Consumer,Office Supplies,Art,Art Product 7,USA,Arizona,Phoenix,West,2023,10,October,Q4
ORD-100014,5/21/2022,CUST-1526,PROD-0144,5,Same Day,54.69,10,0.05,5.13,Neha Malhotra,Consumer,Technology,Machines,Machines Product 4,USA,Florida,Miami,East,2022,5,May,Q2
ORD-100015,1/12/2023,CUST-0450,PROD-0036,8,Standard Class,735.3,1,0.15,0,Aryan Tiwari,Consumer,Furniture,Tables,Tables Product 16,USA,Arizona,Phoenix,West,2023,1,January,Q1
ORD-100016,11/10/2021,CUST-1286,PROD-0041,7,Standard Class,955.69,7,0,156.69,Aadhya Kapoor,Corporate,Furniture,Bookcases,Bookcases Product 1,USA,Ohio,Columbus,West,2021,11,November,Q4
ORD-100017,5/5/2024,CUST-0959,PROD-0136,5,Standard Class,1190.72,2,0.15,0,Manav Singh,Consumer,Technology,Copiers,Copiers Product 16,USA,Florida,Miami,East,2024,5,May,Q2
ORD-100018,1/5/2024,CUST-1538,PROD-0069,6,Standard Class,443.8,5,0.3,-61.93,Yash Mukherjee,Home Office,Furniture,Furnishings,Furnishings Product 9,USA,Illinois,Chicago,East,2024,1,January,Q1
ORD-100019,11/20/2021,CUST-0930,PROD-0001,5,Second Class,569.66,9,0.15,0,Sai Menon,Corporate,Furniture,Chairs,Chairs Product 1,USA,Florida,Miami,East,2021,11,November,Q4
ORD-100020,7/4/2024,CUST-0612,PROD-0216,4,Second Class,298.23,6,0,52.14,Sai Agarwal,Corporate,Office Supplies,Storage,Storage Product 16,USA,Washington,Seattle,East,2024,7,July,Q3
ORD-100021,1/10/2024,CUST-1953,PROD-0200,1,First Class,498.27,8,0.05,52.87,Anika Sinha,Corporate,Office Supplies,Paper,Paper Product 20,USA,California,Los Angeles,West,2024,1,January,Q1
ORD-100022,8/18/2021,CUST-1903,PROD-0093,5,Second Class,766.4,1,0,106.19,Sara Joshi,Consumer,Technology,Phones,Phones Product 13,USA,Florida,Miami,East,2021,8,August,Q3
ORD-100023,3/7/2024,CUST-1940,PROD-0021,2,Same Day,624.89,2,0.05,59.23,Sneha Kohli,Consumer,Furniture,Tables,Tables Product 1,USA,Texas,Houston,West,2024,3,March,Q1
ORD-100024,9/15/2021,CUST-0263,PROD-0169,8,Second Class,101.58,5,0.2,-4.89,Aisha Nair,Home Office,Office Supplies,Binders,Binders Product 9,USA,Arizona,Phoenix,West,2021,9,September,Q3
ORD-100025,5/27/2024,CUST-0867,PROD-0055,4,First Class,134.92,7,0.2,-6.36,Aditya Pandey,Consumer,Furniture,Bookcases,Bookcases Product 15,USA,Washington,Seattle,East,2024,5,May,Q2
ORD-100026,8/23/2024,CUST-0765,PROD-0113,8,Standard Class,719.64,4,0.3,-113.09,Saanvi Naidu,Consumer,Technology,Accessories,Accessories Product 13,USA,Arizona,Phoenix,West,2024,8,August,Q3
ORD-100027,5/12/2021,CUST-0693,PROD-0006,4,Second Class,801.89,1,0.05,60.72,Myra Chauhan,Home Office,Furniture,Chairs,Chairs Product 6,USA,Washington,Seattle,East,2021,5,May,Q2
ORD-100028,12/20/2024,CUST-1293,PROD-0016,4,Standard Class,789.51,1,0,105.08,Anika Jain,Corporate,Furniture,Chairs,Chairs Product 16,USA,Washington,Seattle,East,2024,12,December,Q4
ORD-100029,5/26/2021,CUST-1053,PROD-0061,5,Same Day,490.87,4,0.1,29.82,Kavya Mishra,Corporate,Furniture,Furnishings,Furnishings Product 1,USA,Florida,Miami,East,2021,5,May,Q2
ORD-100030,9/28/2021,CUST-1482,PROD-0240,8,Second Class,30.66,8,0.2,-1.61,Aadhya Mehta,Consumer,Office Supplies,Art,Art Product 20,USA,Arizona,Phoenix,West,2021,9,September,Q3
ORD-100031,1/25/2022,CUST-0194,PROD-0025,7,First Class,726.48,7,0.15,0,Sai Saxena,Consumer,Furniture,Tables,Tables Product 5,USA,Ohio,Columbus,West,2022,1,January,Q1
ORD-100032,8/15/2023,CUST-1770,PROD-0187,1,Standard Class,299.69,1,0.15,0,Ananya Dutta,Consumer,Office Supplies,Paper,Paper Product 7,USA,California,Los Angeles,West,2023,8,August,Q3
ORD-100033,11/26/2022,CUST-1640,PROD-0221,2,Second Class,1062.78,4,0.15,0,Ritika Rao,Home Office,Office Supplies,Art,Art Product 1,USA,Texas,Houston,West,2022,11,November,Q4
ORD-100034,1/4/2024,CUST-0919,PROD-0036,7,Second Class,410.45,5,0.05,39.78,Dhruv Sharma,Home Office,Furniture,Tables,Tables Product 16,USA,Ohio,Columbus,West,2024,1,January,Q1
ORD-100035,5/27/2022,CUST-1791,PROD-0237,2,Same Day,809.88,9,0.15,0,Myra Mukherjee,Home Office,Office Supplies,Art,Art Product 17,USA,Texas,Houston,West,2022,5,May,Q2
ORD-100036,4/14/2021,CUST-1336,PROD-0139,1,Standard Class,550.33,4,0,86.9,Sai Chauhan,Corporate,Technology,Copiers,Copiers Product 19,USA,California,Los Angeles,West,2021,4,April,Q2
ORD-100037,4/13/2023,CUST-0995,PROD-0124,4,Same Day,1139.33,1,0.05,97.02,Aditya Chauhan,Corporate,Technology,Copiers,Copiers Product 4,USA,Washington,Seattle,East,2023,4,April,Q2
ORD-100038,2/16/2023,CUST-0005,PROD-0100,5,Same Day,443.92,5,0.05,41.18,Vivaan Naidu,Consumer,Technology,Phones,Phones Product 20,USA,Florida,Miami,East,2023,2,February,Q1
ORD-100039,11/27/2024,CUST-1961,PROD-0188,8,Second Class,734.54,4,0.15,0,Tanvi Dutta,Consumer,Office Supplies,Paper,Paper Product 8,USA,Arizona,Phoenix,West,2024,11,November,Q4
ORD-100040,3/22/2022,CUST-1984,PROD-0015,1,First Class,649.54,1,0.1,37.97,Priya Das,Home Office,Furniture,Chairs,Chairs Product 15,USA,California,Los Angeles,West,2022,3,March,Q1
ORD-100041,4/11/2024,CUST-0977,PROD-0129,3,Standard Class,852.36,9,0,123.74,Saanvi Deshmukh,Corporate,Technology,Copiers,Copiers Product 9,USA,New York,New York,Central,2024,4,April,Q2
ORD-100042,1/16/2022,CUST-0141,PROD-0153,2,Second Class,1039.78,7,0,161.41,Aarav Arora,Home Office,Technology,Machines,Machines Product 13,USA,Texas,Houston,West,2022,1,January,Q1
ORD-100043,3/12/2024,CUST-0505,PROD-0149,1,Standard Class,657.09,7,0,71.02,Neha Gupta,Consumer,Technology,Machines,Machines Product 9,USA,California,Los Angeles,West,2024,3,March,Q1
ORD-100044,4/10/2024,CUST-1158,PROD-0134,6,First Class,1184.3,4,0.3,-137.46,Yash Sinha,Consumer,Technology,Copiers,Copiers Product 14,USA,Illinois,Chicago,East,2024,4,April,Q2
ORD-100045,10/6/2022,CUST-0489,PROD-0068,7,Second Class,292.73,5,0.3,-32.1,Harsh Dutta,Home Office,Furniture,Furnishings,Furnishings Product 8,USA,Ohio,Columbus,West,2022,10,October,Q4
ORD-100046,10/10/2022,CUST-1903,PROD-0193,2,Standard Class,775.2,8,0.15,0,Anika Rao,Consumer,Office Supplies,Paper,Paper Product 13,USA,Texas,Houston,West,2022,10,October,Q4
ORD-100047,2/28/2024,CUST-0205,PROD-0019,4,First Class,232.41,3,0.2,-8.75,Reyansh Deshmukh,Corporate,Furniture,Chairs,Chairs Product 19,USA,Washington,Seattle,East,2024,2,February,Q1
ORD-100048,5/21/2021,CUST-1801,PROD-0063,6,First Class,141.9,3,0.1,7.46,Ritika Naidu,Consumer,Furniture,Furnishings,Furnishings Product 3,USA,Illinois,Chicago,East,2021,5,May,Q2
ORD-100049,1/18/2024,CUST-1441,PROD-0078,1,First Class,832.09,2,0.15,0,Reyansh Mukherjee,Corporate,Furniture,Furnishings,Furnishings Product 18,USA,California,Los Angeles,West,2024,1,January,Q1
ORD-100050,6/26/2022,CUST-0237,PROD-0228,2,Second Class,586.28,5,0.05,65.17,Neha Kulkarni,Corporate,Office Supplies,Art,Art Product 8,USA,Texas,Houston,West,2022,6,June,Q2
ORD-100051,5/23/2024,CUST-0432,PROD-0184,6,Second Class,40.51,5,0.1,1.81,Neha Reddy,Home Office,Office Supplies,Paper,Paper Product 4,USA,Illinois,Chicago,East,2024,5,May,Q2
ORD-100052,9/28/2023,CUST-0515,PROD-0232,1,Standard Class,1168.26,7,0.2,-61.22,Diya Mehta,Consumer,Office Supplies,Art,Art Product 12,USA,California,Los Angeles,West,2023,9,September,Q3
ORD-100053,4/1/2021,CUST-0008,PROD-0086,3,First Class,319.99,3,0.1,16.21,Priya Pandey,Corporate,Technology,Phones,Phones Product 6,USA,New York,New York,Central,2021,4,April,Q2
ORD-100054,6/24/2023,CUST-1130,PROD-0181,7,Standard Class,424.33,2,0.3,-64.88,Reyansh Shetty,Consumer,Office Supplies,Paper,Paper Product 1,USA,Ohio,Columbus,West,2023,6,June,Q2
ORD-100055,11/16/2024,CUST-1852,PROD-0039,1,First Class,168.37,10,0,19.69,Priya Joshi,Consumer,Furniture,Tables,Tables Product 19,USA,California,Los Angeles,West,2024,11,November,Q4
ORD-100056,10/31/2021,CUST-0881,PROD-0033,1,First Class,189.38,6,0.2,-11.97,Myra Kapoor,Home Office,Furniture,Tables,Tables Product 13,USA,California,Los Angeles,West,2021,10,October,Q4
ORD-100057,1/3/2023,CUST-0431,PROD-0175,4,Standard Class,884.82,6,0,105.84,Atharv Dutta,Home Office,Office Supplies,Binders,Binders Product 15,USA,Washington,Seattle,East,2023,1,January,Q1
ORD-100058,4/13/2023,CUST-1995,PROD-0159,3,Second Class,242.25,3,0.2,-13.79,Atharv Sinha,Consumer,Technology,Machines,Machines Product 19,USA,New York,New York,Central,2023,4,April,Q2
ORD-100059,4/25/2023,CUST-0051,PROD-0046,6,Same Day,204.27,4,0.05,17.17,Atharv Menon,Corporate,Furniture,Bookcases,Bookcases Product 6,USA,Illinois,Chicago,East,2023,4,April,Q2
ORD-100060,11/23/2021,CUST-1613,PROD-0180,2,Same Day,1156.75,1,0.1,49.35,Krishna Chatterjee,Corporate,Office Supplies,Binders,Binders Product 20,USA,Texas,Houston,West,2021,11,November,Q4
ORD-100061,4/1/2022,CUST-0409,PROD-0210,8,First Class,800.73,5,0.15,0,Ishita Saxena,Home Office,Office Supplies,Storage,Storage Product 10,USA,Arizona,Phoenix,West,2022,4,April,Q2
ORD-100062,4/2/2022,CUST-0049,PROD-0169,4,Same Day,461.67,6,0.05,32.8,Meera Banerjee,Corporate,Office Supplies,Binders,Binders Product 9,USA,Washington,Seattle,East,2022,4,April,Q2
ORD-100063,5/23/2021,CUST-1981,PROD-0198,5,First Class,308.09,9,0.1,18.46,Atharv Gupta,Corporate,Office Supplies,Paper,Paper Product 18,USA,Florida,Miami,East,2021,5,May,Q2
ORD-100064,10/23/2024,CUST-1728,PROD-0138,6,Standard Class,1040.24,2,0.15,0,Kabir Agarwal,Home Office,Technology,Copiers,Copiers Product 18,USA,Illinois,Chicago,East,2024,10,October,Q4
ORD-100065,1/1/2022,CUST-1190,PROD-0068,1,Standard Class,153.47,10,0.1,9.03,Aditya Das,Consumer,Furniture,Furnishings,Furnishings Product 8,USA,California,Los Angeles,West,2022,1,January,Q1
ORD-100066,12/9/2022,CUST-1493,PROD-0202,6,Same Day,1104.04,10,0.15,0,Reyansh Joshi,Corporate,Office Supplies,Storage,Storage Product 2,USA,Illinois,Chicago,East,2022,12,December,Q4
ORD-100067,8/25/2021,CUST-0789,PROD-0231,4,First Class,1130.23,1,0.2,-67.59,Aryan Bansal,Consumer,Office Supplies,Art,Art Product 11,USA,Washington,Seattle,East,2021,8,August,Q3
ORD-100068,6/13/2023,CUST-0004,PROD-0134,4,First Class,807.03,7,0.3,-126.66,Aditya Bhatt,Home Office,Technology,Copiers,Copiers Product 14,USA,Washington,Seattle,East,2023,6,June,Q2
ORD-100069,9/22/2024,CUST-1886,PROD-0085,6,Standard Class,431.32,5,0,51.47,Sara Agarwal,Consumer,Technology,Phones,Phones Product 5,USA,Illinois,Chicago,East,2024,9,September,Q3
ORD-100070,9/26/2022,CUST-1366,PROD-0105,6,Same Day,733.85,5,0.2,-32.69,Vihaan Patel,Home Office,Technology,Accessories,Accessories Product 5,USA,Illinois,Chicago,East,2022,9,September,Q3
ORD-100071,9/18/2021,CUST-0393,PROD-0108,7,Second Class,1042.4,10,0.2,-67.55,Aryan Mukherjee,Consumer,Technology,Accessories,Accessories Product 8,USA,Ohio,Columbus,West,2021,9,September,Q3
ORD-100072,9/9/2022,CUST-0832,PROD-0141,1,First Class,907.86,5,0.2,-34.24,Simran Yadav,Corporate,Technology,Machines,Machines Product 1,USA,California,Los Angeles,West,2022,9,September,Q3
ORD-100073,5/31/2023,CUST-1610,PROD-0149,6,Same Day,360.65,8,0.05,27.61,Ishita Iyer,Home Office,Technology,Machines,Machines Product 9,USA,Illinois,Chicago,East,2023,5,May,Q2
ORD-100074,10/15/2024,CUST-0438,PROD-0131,8,Second Class,787.6,2,0.15,0,Rudra Deshmukh,Consumer,Technology,Copiers,Copiers Product 11,USA,Arizona,Phoenix,West,2024,10,October,Q4
ORD-100075,11/22/2023,CUST-1360,PROD-0163,6,Standard Class,1112.3,4,0.1,53.55,Harsh Chauhan,Consumer,Office Supplies,Binders,Binders Product 3,USA,Illinois,Chicago,East,2023,11,November,Q4
ORD-100076,9/28/2022,CUST-0461,PROD-0207,4,Second Class,1083.62,1,0.3,-199.4,Aditya Kapoor,Consumer,Office Supplies,Storage,Storage Product 7,USA,Washington,Seattle,East,2022,9,September,Q3
ORD-100077,5/17/2022,CUST-0974,PROD-0157,2,Same Day,394.29,7,0,72.23,Kabir Arora,Corporate,Technology,Machines,Machines Product 17,USA,Texas,Houston,West,2022,5,May,Q2
ORD-100078,3/24/2024,CUST-0399,PROD-0184,7,Same Day,463.29,7,0.3,-61.02,Krishna Mehta,Home Office,Office Supplies,Paper,Paper Product 4,USA,Ohio,Columbus,West,2024,3,March,Q1
ORD-100079,10/30/2021,CUST-1344,PROD-0177,1,Standard Class,785.91,7,0.05,70.5,Myra Kohli,Home Office,Office Supplies,Binders,Binders Product 17,USA,California,Los Angeles,West,2021,10,October,Q4
ORD-100080,12/27/2021,CUST-1647,PROD-0179,8,Standard Class,763.65,9,0.05,81.4,Reyansh Mishra,Home Office,Office Supplies,Binders,Binders Product 19,USA,Arizona,Phoenix,West,2021,12,December,Q4
ORD-100081,9/6/2021,CUST-0935,PROD-0035,8,First Class,684.86,8,0.05,63.57,Dev Sharma,Home Office,Furniture,Tables,Tables Product 15,USA,Arizona,Phoenix,West,2021,9,September,Q3
ORD-100082,10/31/2023,CUST-0874,PROD-0213,8,Second Class,667.23,8,0.2,-35.29,Sara Ghosh,Home Office,Office Supplies,Storage,Storage Product 13,USA,Arizona,Phoenix,West,2023,10,October,Q4
ORD-100083,6/15/2022,CUST-1540,PROD-0064,5,Same Day,663.91,4,0.15,0,Aryan Iyer,Home Office,Furniture,Furnishings,Furnishings Product 4,USA,Florida,Miami,East,2022,6,June,Q2
ORD-100084,6/20/2023,CUST-0159,PROD-0183,5,Second Class,37.31,5,0.1,1.96,Atharv Chatterjee,Consumer,Office Supplies,Paper,Paper Product 3,USA,Florida,Miami,East,2023,6,June,Q2
ORD-100085,10/17/2022,CUST-1829,PROD-0139,2,Second Class,218.76,3,0.1,11.87,Neha Kapoor,Corporate,Technology,Copiers,Copiers Product 19,USA,Texas,Houston,West,2022,10,October,Q4
ORD-100086,2/24/2023,CUST-1422,PROD-0040,4,Standard Class,916.03,7,0.05,91.63,Ananya Sinha,Corporate,Furniture,Tables,Tables Product 20,USA,Washington,Seattle,East,2023,2,February,Q1
ORD-100087,11/9/2022,CUST-1112,PROD-0120,7,Standard Class,659.99,4,0.15,0,Dev Tiwari,Consumer,Technology,Accessories,Accessories Product 20,USA,Ohio,Columbus,West,2022,11,November,Q4
ORD-100088,3/9/2023,CUST-1854,PROD-0198,1,Same Day,1019.66,8,0.15,0,Ishaan Menon,Consumer,Office Supplies,Paper,Paper Product 18,USA,California,Los Angeles,West,2023,3,March,Q1
ORD-100089,12/22/2022,CUST-0612,PROD-0193,7,Same Day,980.24,9,0,112.53,Ritika Mehta,Corporate,Office Supplies,Paper,Paper Product 13,USA,Ohio,Columbus,West,2022,12,December,Q4
ORD-100090,1/24/2024,CUST-1639,PROD-0155,4,Same Day,195.81,4,0.3,-29.84,Riya Mukherjee,Home Office,Technology,Machines,Machines Product 15,USA,Washington,Seattle,East,2024,1,January,Q1
ORD-100091,6/12/2023,CUST-0995,PROD-0008,7,First Class,310.36,7,0.1,15.3,Kabir Joshi,Corporate,Furniture,Chairs,Chairs Product 8,USA,Ohio,Columbus,West,2023,6,June,Q2
ORD-100092,12/5/2021,CUST-1722,PROD-0120,3,Standard Class,485.35,7,0.3,-74.96,Sneha Tripathi,Consumer,Technology,Accessories,Accessories Product 20,USA,New York,New York,Central,2021,12,December,Q4
ORD-100093,3/1/2024,CUST-1358,PROD-0007,2,Same Day,901.31,3,0.2,-50.89,Simran Bose,Consumer,Furniture,Chairs,Chairs Product 7,USA,Texas,Houston,West,2024,3,March,Q1
ORD-100094,1/8/2022,CUST-0103,PROD-0067,7,First Class,635.06,4,0.15,0,Dev Chatterjee,Home Office,Furniture,Furnishings,Furnishings Product 7,USA,Ohio,Columbus,West,2022,1,January,Q1
ORD-100095,11/1/2022,CUST-0692,PROD-0195,7,First Class,528.42,7,0.15,0,Priya Reddy,Consumer,Office Supplies,Paper,Paper Product 15,USA,Ohio,Columbus,West,2022,11,November,Q4
ORD-100096,6/17/2021,CUST-0964,PROD-0005,1,First Class,104.11,4,0.1,6.63,Meera Gupta,Consumer,Furniture,Chairs,Chairs Product 5,USA,California,Los Angeles,West,2021,6,June,Q2
ORD-100097,5/21/2021,CUST-1600,PROD-0167,1,Standard Class,792.54,4,0.3,-110.33,Ananya Chatterjee,Consumer,Office Supplies,Binders,Binders Product 7,USA,California,Los Angeles,West,2021,5,May,Q2
ORD-100098,2/11/2021,CUST-1273,PROD-0040,4,Second Class,252.64,8,0.05,24.95,Tanvi Deshmukh,Consumer,Furniture,Tables,Tables Product 20,USA,Washington,Seattle,East,2021,2,February,Q1
ORD-100099,8/23/2021,CUST-1156,PROD-0056,8,First Class,249.58,6,0.3,-29.94,Aisha Gupta,Consumer,Furniture,Bookcases,Bookcases Product 16,USA,Arizona,Phoenix,West,2021,8,August,Q3
ORD-100100,5/25/2024,CUST-1244,PROD-0192,2,Second Class,748.48,5,0.05,75.88,Vivaan Sinha,Home Office,Office Supplies,Paper,Paper Product 12,USA,Texas,Houston,West,2024,5,May,Q2
ORD-100101,3/31/2024,CUST-0053,PROD-0238,5,Same Day,810.71,7,0,152.95,Aadhya Saxena,Corporate,Office Supplies,Art,Art Product 18,USA,Florida,Miami,East,2024,3,March,Q1
ORD-100102,2/11/2022,CUST-0156,PROD-0152,4,Standard Class,648.07,5,0.3,-101.93,Dhruv Kulkarni,Home Office,Technology,Machines,Machines Product 12,USA,Washington,Seattle,East,2022,2,February,Q1
ORD-100103,5/14/2024,CUST-1650,PROD-0031,1,First Class,125.76,9,0.3,-21.33,Vivaan Banerjee,Home Office,Furniture,Tables,Tables Product 11,USA,California,Los Angeles,West,2024,5,May,Q2
ORD-100104,9/16/2024,CUST-0759,PROD-0018,6,Standard Class,491.89,7,0.15,0,Sai Pandey,Home Office,Furniture,Chairs,Chairs Product 18,USA,Illinois,Chicago,East,2024,9,September,Q3
ORD-100105,8/5/2021,CUST-0888,PROD-0093,8,Second Class,991.35,7,0.15,0,Ishita Naidu,Corporate,Technology,Phones,Phones Product 13,USA,Arizona,Phoenix,West,2021,8,August,Q3
ORD-100106,12/5/2023,CUST-1978,PROD-0167,5,Same Day,165.4,8,0.05,20.11,Reyansh Malhotra,Home Office,Office Supplies,Binders,Binders Product 7,USA,Florida,Miami,East,2023,12,December,Q4
ORD-100107,4/28/2024,CUST-0550,PROD-0083,4,Standard Class,963.74,5,0.15,0,Meera Yadav,Home Office,Technology,Phones,Phones Product 3,USA,Washington,Seattle,East,2024,4,April,Q2
ORD-100108,5/15/2022,CUST-1537,PROD-0119,7,First Class,368.43,1,0.15,0,Priya Jain,Corporate,Technology,Accessories,Accessories Product 19,USA,Ohio,Columbus,West,2022,5,May,Q2
ORD-100109,10/28/2022,CUST-0373,PROD-0125,4,First Class,238.57,5,0.15,0,Ananya Jain,Home Office,Technology,Copiers,Copiers Product 5,USA,Washington,Seattle,East,2022,10,October,Q4
ORD-100110,7/27/2022,CUST-1803,PROD-0153,5,Standard Class,520.94,9,0.1,19.59,Ishaan Sharma,Corporate,Technology,Machines,Machines Product 13,USA,Florida,Miami,East,2022,7,July,Q3
ORD-100111,6/25/2021,CUST-0495,PROD-0185,7,Same Day,982.58,9,0.05,90.8,Reyansh Banerjee,Corporate,Office Supplies,Paper,Paper Product 5,USA,Ohio,Columbus,West,2021,6,June,Q2
ORD-100112,11/15/2024,CUST-0976,PROD-0166,8,Same Day,641.27,1,0.05,49.21,Aarav Reddy,Consumer,Office Supplies,Binders,Binders Product 6,USA,Arizona,Phoenix,West,2024,11,November,Q4
ORD-100113,8/26/2022,CUST-0454,PROD-0104,4,First Class,23.05,10,0,3.74,Harsh Kohli,Corporate,Technology,Accessories,Accessories Product 4,USA,Washington,Seattle,East,2022,8,August,Q3
ORD-100114,8/28/2023,CUST-1134,PROD-0136,6,Same Day,627.91,9,0.1,33.16,Arjun Mukherjee,Consumer,Technology,Copiers,Copiers Product 16,USA,Illinois,Chicago,East,2023,8,August,Q3
ORD-100115,12/22/2022,CUST-1440,PROD-0117,5,First Class,956.62,5,0.1,52.04,Reyansh Yadav,Corporate,Technology,Accessories,Accessories Product 17,USA,Florida,Miami,East,2022,12,December,Q4
ORD-100116,9/5/2021,CUST-1478,PROD-0050,6,Standard Class,226.23,9,0.05,20.73,Ritika Mukherjee,Corporate,Furniture,Bookcases,Bookcases Product 10,USA,Illinois,Chicago,East,2021,9,September,Q3
ORD-100117,1/15/2022,CUST-0393,PROD-0056,8,First Class,1088.95,10,0.3,-189.8,Diya Kulkarni,Consumer,Furniture,Bookcases,Bookcases Product 16,USA,Arizona,Phoenix,West,2022,1,January,Q1
ORD-100118,5/7/2024,CUST-0580,PROD-0026,4,First Class,676.83,4,0.2,-28.88,Shaurya Bansal,Corporate,Furniture,Tables,Tables Product 6,USA,Washington,Seattle,East,2024,5,May,Q2
ORD-100119,1/3/2022,CUST-0620,PROD-0004,3,First Class,376.43,1,0.1,21.44,Sai Shetty,Home Office,Furniture,Chairs,Chairs Product 4,USA,New York,New York,Central,2022,1,January,Q1
ORD-100120,2/8/2024,CUST-0599,PROD-0179,3,Same Day,1024.39,2,0,169.46,Tanvi Kohli,Home Office,Office Supplies,Binders,Binders Product 19,USA,New York,New York,Central,2024,2,February,Q1
ORD-100121,3/21/2024,CUST-0583,PROD-0121,8,Same Day,975.25,6,0,169.69,Vihaan Gupta,Home Office,Technology,Copiers,Copiers Product 1,USA,Arizona,Phoenix,West,2024,3,March,Q1
ORD-100122,4/16/2021,CUST-0518,PROD-0221,8,Standard Class,196.65,2,0.05,18.77,Anika Arora,Home Office,Office Supplies,Art,Art Product 1,USA,Arizona,Phoenix,West,2021,4,April,Q2
ORD-100123,10/5/2023,CUST-0152,PROD-0148,1,Second Class,200.52,3,0.15,0,Aarav Kapoor,Consumer,Technology,Machines,Machines Product 8,USA,California,Los Angeles,West,2023,10,October,Q4
ORD-100124,9/15/2022,CUST-0175,PROD-0064,2,Same Day,1045.73,10,0.2,-51.44,Sneha Mukherjee,Home Office,Furniture,Furnishings,Furnishings Product 4,USA,Texas,Houston,West,2022,9,September,Q3
ORD-100125,6/20/2024,CUST-0463,PROD-0199,7,Same Day,651.72,8,0.2,-26.3,Ananya Menon,Consumer,Office Supplies,Paper,Paper Product 19,USA,Ohio,Columbus,West,2024,6,June,Q2
ORD-100126,4/20/2024,CUST-0879,PROD-0079,1,Standard Class,388.48,4,0.1,16.28,Saanvi Mukherjee,Consumer,Furniture,Furnishings,Furnishings Product 19,USA,California,Los Angeles,West,2024,4,April,Q2
ORD-100127,3/9/2022,CUST-0542,PROD-0170,2,Second Class,263.3,4,0.3,-42.76,Ishita Verma,Corporate,Office Supplies,Binders,Binders Product 10,USA,Texas,Houston,West,2022,3,March,Q1
ORD-100128,2/5/2024,CUST-0154,PROD-0041,1,Same Day,323.12,8,0.05,34.87,Myra Chatterjee,Home Office,Furniture,Bookcases,Bookcases Product 1,USA,California,Los Angeles,West,2024,2,February,Q1
